Year,1980
JANUARY,0.0693
FEBRUARY,0.0689
MARCH,0.078
APRIL,0.0894
MAY,0.0875
JUNE,0.1145
JULY,0.1035
AUGUST,0.1155
SEPTEMBER,0.1139
OCTOBER,0.099
NOVEMBER,0.1011
DECEMBER,0.10800000000000001
AVERAGE,0.09571666667000002
