Year,2008
JANUARY,84.27
FEBRUARY,90.72
MARCH,96.81
APRIL,113.13
MAY,124.89
JUNE,131.54
JULY,129.53
AUGUST,94.41
SEPTEMBER,80.7
OCTOBER,80.96
NOVEMBER,92.0
DECEMBER,96.19
AVERAGE,101.26
