Year,2011
JANUARY,154.22
FEBRUARY,150.1
MARCH,160.43
APRIL,173.61
MAY,190.91
JUNE,194.23
JULY,202.1
AUGUST,156.6
SEPTEMBER,132.91
OCTOBER,130.15
NOVEMBER,136.1
DECEMBER,159.44
AVERAGE,161.73
